Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Average Salary,Compant Text,Job State,Company Age
"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),3.2,"Vera Institute of Justice
3.2","New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,True,51.5,Vera Institute of Justice, NY,61
Quality Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Visiting Nurse Service of New York
3.8","New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,51.5,Visiting Nurse Service of New York, NY,129
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,51.5,Squarespace, NY,19
Data Analyst,$37K-$66K (Glassdoor est.),4.1,"Celerity
4.1","New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,51.5,Celerity, NY,20
Reporting Data Analyst,$37K-$66K (Glassdoor est.),3.9,"FanDuel
3.9","New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,True,51.5,FanDuel, NY,13
Data Analyst,$37K-$66K (Glassdoor est.),3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,51.5,Point72, NY,8
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,51.5,Two Sigma, NY,21
Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",True,51.5,GNY Insurance Companies, NY,108
Data Analyst,$37K-$66K (Glassdoor est.),4.0,"DMGT
4.0","New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1,51.5,DMGT, NY,126
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,51.5,Riskified, NY,9
Data Analyst,$37K-$66K (Glassdoor est.),4.0,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,51.5,NYU Langone Health, NY,181
Data Analyst,$37K-$66K (Glassdoor est.),-1.0,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,51.5,BulbHead, NJ,-1
DATA ANALYST,$37K-$66K (Glassdoor est.),3.7,"Montefiore Medical
3.7","New York, NY","Bronx, NY",10000+ employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,51.5,Montefiore Medical, NY,138
Senior Data Analyst,$37K-$66K (Glassdoor est.),3.0,"Known
3.0","New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,True,51.5,Known, NY,18
Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),3.4,"Advisor Group
3.4","Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),-1,-1,51.5,Advisor Group, NJ,6
Sustainability Data Analyst,$37K-$66K (Glassdoor est.),3.6,"CodeGreen Solutions
3.6","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1,51.5,CodeGreen Solutions, NY,-1
Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Undertone
3.8","New York, NY","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",True,51.5,Undertone, NY,21
Clinical Data Analyst,$37K-$66K (Glassdoor est.),3.8,"NYSTEC
3.8","New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",-1,51.5,NYSTEC, NY,26
DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),3.9,"Education Development Center, Inc.
3.9","New York, NY","Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1,-1,51.5,"Education Development Center, Inc.", NY,64
Data Analyst,$37K-$66K (Glassdoor est.),4.9,"Teachers Pay Teachers
4.9","New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,51.5,Teachers Pay Teachers, NY,16
"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),4.4,"Google
4.4","New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",-1,51.5,Google, NY,24
Data Science Analyst,$37K-$66K (Glassdoor est.),-1.0,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,51.5,MUSIC & Entertainment, NY,-1
